byte_received, byte_sent, num_read_events, num_write_events, num_disconnects
7106207328, 0, 89692, 0, 0
7247255840, 0, 89735, 0, 0
7134187104, 0, 90645, 0, 0
7348245344, 0, 92233, 0, 0
7276360960, 0, 90974, 0, 0
7206184832, 0, 90168, 0, 0
7026121696, 0, 91046, 0, 0
7160992960, 0, 92120, 0, 0
7021045504, 0, 89299, 0, 0
7260419936, 0, 92309, 0, 0
7241272896, 0, 91456, 0, 0
7338076768, 0, 90728, 0, 0
6968494368, 0, 89951, 0, 0
7082340320, 0, 92073, 0, 0
6935438400, 0, 91536, 0, 0
7163616064, 0, 93122, 0, 0
7094298112, 0, 92631, 0, 0
7291103776, 0, 94490, 0, 0
7091254016, 0, 91593, 0, 0
7156378240, 0, 90470, 0, 0
7020316864, 0, 89403, 0, 0
7060035840, 0, 88917, 0, 0
7122512672, 0, 90606, 0, 0
7111218752, 0, 89823, 0, 0
7163867040, 0, 90947, 0, 0
7060610656, 0, 88909, 0, 0
7181192480, 0, 90047, 0, 0
7013354304, 0, 87583, 0, 0
7197173984, 0, 88704, 0, 0
7006416032, 0, 86581, 0, 0
7126431136, 0, 88246, 0, 0
7000611200, 0, 85703, 0, 0
