done writing
done reading
done reading
done writing
8096 bytes | received 8096 bytes
wrote 655776 bytes | received 647680 bytes
wrote 655776 bytes | received 655776 bytes
wrote 663872 bytes | received 655776 bytes
wrote 663872 bytes | received 663872 bytes
wrote 671968 bytes | received 663872 bytes
wrote 671968 bytes | received 671968 bytes
wrote 680064 bytes | received 671968 bytes
wrote 680064 bytes | received 680064 bytes
wrote 688160 bytes | received 680064 bytes
wrote 688160 bytes | received 688160 bytes
wrote 696256 bytes | received 688160 bytes
wrote 696256 bytes | received 696256 bytes
wrote 704352 bytes | received 696256 bytes
wrote 704352 bytes | received 704352 bytes
wrote 712448 bytes | received 704352 bytes
wrote 712448 bytes | received 712448 bytes
wrote 720544 bytes | received 712448 bytes
wrote 720544 bytes | received 720544 bytes
wrote 728640 bytes | received 720544 bytes
wrote 728640 bytes | received 728640 bytes
wrote 736736 bytes | received 728640 bytes
wrote 736736 bytes | received 736736 bytes
wrote 744832 bytes | received 736736 bytes
wrote 744832 bytes | received 744832 bytes
wrote 752928 bytes | received 744832 bytes
wrote 752928 bytes | received 752928 bytes
wrote 761024 bytes | received 752928 bytes
wrote 761024 bytes | received 761024 bytes
wrote 769120 bytes | received 761024 bytes
wrote 769120 bytes | received 769120 bytes
wrote 777216 bytes | received 769120 bytes
wrote 777216 bytes | received 777216 bytes
wrote 785312 bytes | received 777216 bytes
wrote 785312 bytes | received 785312 bytes
wrote 793408 bytes | received 785312 bytes
wrote 793408 bytes | received 793408 bytes
wrote 801504 bytes | received 793408 bytes
wrote 801504 bytes | received 801504 bytes
wrote 809600 bytes | received 801504 bytes
wrote 809600 bytes | received 809600 bytes
wrote 817696 bytes | received 809600 bytes
wrote 817696 bytes | received 817696 bytes
wrote 825792 bytes | received 817696 bytes
wrote 825792 bytes | received 825792 bytes
wrote 833888 bytes | received 825792 bytes
wrote 833888 bytes | received 833888 bytes
wrote 841984 bytes | received 833888 bytes
wrote 841984 bytes | received 841984 bytes
wrote 850080 bytes | received 841984 bytes
wrote 850080 bytes | received 850080 bytes
wrote 858176 bytes | received 850080 bytes
wrote 858176 bytes | received 858176 bytes
wrote 866272 bytes | received 858176 bytes
wrote 866272 bytes | received 866272 bytes
wrote 874368 bytes | received 866272 bytes
wrote 874368 bytes | received 874368 bytes
wrote 882464 bytes | received 874368 bytes
wrote 882464 bytes | received 882464 bytes
wrote 890560 bytes | received 882464 bytes
wrote 890560 bytes | received 890560 bytes
wrote 898656 bytes | received 890560 bytes
wrote 898656 bytes | received 898656 bytes
wrote 906752 bytes | received 898656 bytes
wrote 906752 bytes | received 906752 bytes
wrote 914848 bytes | received 906752 bytes
wrote 914848 bytes | received 914848 bytes
wrote 922944 bytes | received 914848 bytes
wrote 922944 bytes | received 922944 bytes
wrote 931040 bytes | received 922944 bytes
wrote 931040 bytes | received 931040 bytes
wrote 939136 bytes | received 931040 bytes
wrote 939136 bytes | received 939136 bytes
wrote 947232 bytes | received 939136 bytes
wrote 947232 bytes | received 947232 bytes
wrote 955328 bytes | received 947232 bytes
wrote 955328 bytes | received 955328 bytes
wrote 963424 bytes | received 955328 bytes
wrote 963424 bytes | received 963424 bytes
wrote 971520 bytes | received 963424 bytes
wrote 971520 bytes | received 971520 bytes
