done writing
done reading
done reading
done writing
8096 bytes | received 8096 bytes
wrote 18807008 bytes | received 18798912 bytes
wrote 18807008 bytes | received 18807008 bytes
wrote 18815104 bytes | received 18807008 bytes
wrote 18815104 bytes | received 18815104 bytes
wrote 18823200 bytes | received 18815104 bytes
wrote 18823200 bytes | received 18823200 bytes
wrote 18831296 bytes | received 18823200 bytes
wrote 18831296 bytes | received 18831296 bytes
wrote 18839392 bytes | received 18831296 bytes
wrote 18839392 bytes | received 18839392 bytes
wrote 18847488 bytes | received 18839392 bytes
wrote 18847488 bytes | received 18847488 bytes
wrote 18855584 bytes | received 18847488 bytes
wrote 18855584 bytes | received 18855584 bytes
wrote 18863680 bytes | received 18855584 bytes
wrote 18863680 bytes | received 18863680 bytes
wrote 18871776 bytes | received 18863680 bytes
wrote 18871776 bytes | received 18871776 bytes
wrote 18879872 bytes | received 18871776 bytes
wrote 18879872 bytes | received 18879872 bytes
wrote 18887968 bytes | received 18879872 bytes
wrote 18887968 bytes | received 18887968 bytes
wrote 18896064 bytes | received 18887968 bytes
wrote 18896064 bytes | received 18896064 bytes
wrote 18904160 bytes | received 18896064 bytes
wrote 18904160 bytes | received 18904160 bytes
wrote 18912256 bytes | received 18904160 bytes
wrote 18912256 bytes | received 18912256 bytes
wrote 18920352 bytes | received 18912256 bytes
wrote 18920352 bytes | received 18920352 bytes
wrote 18928448 bytes | received 18920352 bytes
wrote 18928448 bytes | received 18928448 bytes
wrote 18936544 bytes | received 18928448 bytes
wrote 18936544 bytes | received 18936544 bytes
wrote 18944640 bytes | received 18936544 bytes
wrote 18944640 bytes | received 18944640 bytes
wrote 18952736 bytes | received 18944640 bytes
wrote 18952736 bytes | received 18952736 bytes
wrote 18960832 bytes | received 18952736 bytes
wrote 18960832 bytes | received 18960832 bytes
wrote 18968928 bytes | received 18960832 bytes
wrote 18968928 bytes | received 18968928 bytes
wrote 18977024 bytes | received 18968928 bytes
wrote 18977024 bytes | received 18977024 bytes
wrote 18985120 bytes | received 18977024 bytes
wrote 18985120 bytes | received 18985120 bytes
wrote 18993216 bytes | received 18985120 bytes
wrote 18993216 bytes | received 18993216 bytes
wrote 19001312 bytes | received 18993216 bytes
wrote 19001312 bytes | received 19001312 bytes
wrote 19009408 bytes | received 19001312 bytes
wrote 19009408 bytes | received 19009408 bytes
wrote 19017504 bytes | received 19009408 bytes
wrote 19017504 bytes | received 19017504 bytes
wrote 19025600 bytes | received 19017504 bytes
wrote 19025600 bytes | received 19025600 bytes
wrote 19033696 bytes | received 19025600 bytes
wrote 19033696 bytes | received 19033696 bytes
wrote 19041792 bytes | received 19033696 bytes
wrote 19041792 bytes | received 19041792 bytes
wrote 19049888 bytes | received 19041792 bytes
wrote 19049888 bytes | received 19049888 bytes
wrote 19057984 bytes | received 19049888 bytes
wrote 19057984 bytes | received 19057984 bytes
wrote 19066080 bytes | received 19057984 bytes
wrote 19066080 bytes | received 19066080 bytes
wrote 19074176 bytes | received 19066080 bytes
wrote 19074176 bytes | received 19074176 bytes
wrote 19082272 bytes | received 19074176 bytes
wrote 19082272 bytes | received 19082272 bytes
wrote 19090368 bytes | received 19082272 bytes
wrote 19090368 bytes | received 19090368 bytes
wrote 19098464 bytes | received 19090368 bytes
wrote 19098464 bytes | received 19098464 bytes
wrote 19106560 bytes | received 19098464 bytes
wrote 19106560 bytes | received 19106560 bytes
wrote 19114656 bytes | received 19106560 bytes
wrote 19114656 bytes | received 19114656 bytes
wrote 19122752 bytes | received 19114656 bytes
wrote 19122752 bytes | received 19122752 bytes
wrote 19130848 bytes | received 19122752 bytes
wrote 19130848 bytes | received 19130848 bytes
wrote 19138944 bytes | received 19130848 bytes
wrote 19138944 bytes | received 19138944 bytes
wrote 19147040 bytes | received 19138944 bytes
wrote 19147040 bytes | received 19147040 bytes
wrote 19155136 bytes | received 19147040 bytes
wrote 19155136 bytes | received 19155136 bytes
wrote 19163232 bytes | received 19155136 bytes
wrote 19163232 bytes | received 19163232 bytes
wrote 19171328 bytes | received 19163232 bytes
wrote 19171328 bytes | received 19171328 bytes
wrote 19179424 bytes | received 19171328 bytes
wrote 19179424 bytes | received 19179424 bytes
wrote 19187520 bytes | received 19179424 bytes
wrote 19187520 bytes | received 19187520 bytes
wrote 19195616 bytes | received 19187520 bytes
wrote 19195616 bytes | received 19195616 bytes
wrote 19203712 bytes | received 19195616 bytes
wrote 19203712 bytes | received 19203712 bytes
wrote 19211808 bytes | received 19203712 bytes
wrote 19211808 bytes | received 19211808 bytes
wrote 19219904 bytes | received 19211808 bytes
wrote 19219904 bytes | received 19219904 bytes
wrote 19228000 bytes | received 19219904 bytes
wrote 19228000 bytes | received 19228000 bytes
wrote 19236096 bytes | received 19228000 bytes
wrote 19236096 bytes | received 19236096 bytes
wrote 19244192 bytes | received 19236096 bytes
wrote 19244192 bytes | received 19244192 bytes
wrote 19252288 bytes | received 19244192 bytes
wrote 19252288 bytes | received 19252288 bytes
wrote 19260384 bytes | received 19252288 bytes
wrote 19260384 bytes | received 19260384 bytes
wrote 19268480 bytes | received 19260384 bytes
wrote 19268480 bytes | received 19268480 bytes
wrote 19276576 bytes | received 19268480 bytes
wrote 19276576 bytes | received 19276576 bytes
wrote 19284672 bytes | received 19276576 bytes
wrote 19284672 bytes | received 19284672 bytes
wrote 19292768 bytes | received 19284672 bytes
wrote 19292768 bytes | received 19292768 bytes
wrote 19300864 bytes | received 19292768 bytes
wrote 19300864 bytes | received 19300864 bytes
wrote 19308960 bytes | received 19300864 bytes
wrote 19308960 bytes | received 19308960 bytes
wrote 19317056 bytes | received 19308960 bytes
wrote 19317056 bytes | received 19317056 bytes
wrote 19325152 bytes | received 19317056 bytes
wrote 19325152 bytes | received 19325152 bytes
wrote 19333248 bytes | received 19325152 bytes
wrote 19333248 bytes | received 19333248 bytes
wrote 19341344 bytes | received 19333248 bytes
wrote 19341344 bytes | received 19341344 bytes
wrote 19349440 bytes | received 19341344 bytes
wrote 19349440 bytes | received 19349440 bytes
wrote 19357536 bytes | received 19349440 bytes
wrote 19357536 bytes | received 19357536 bytes
wrote 19365632 bytes | received 19357536 bytes
wrote 19365632 bytes | received 19365632 bytes
wrote 19373728 bytes | received 19365632 bytes
wrote 19373728 bytes | received 19373728 bytes
wrote 19381824 bytes | received 19373728 bytes
wrote 19381824 bytes | received 19381824 bytes
wrote 19389920 bytes | received 19381824 bytes
wrote 19389920 bytes | received 19389920 bytes
wrote 19398016 bytes | received 19389920 bytes
wrote 19398016 bytes | received 19398016 bytes
wrote 19406112 bytes | received 19398016 bytes
wrote 19406112 bytes | received 19406112 bytes
wrote 19414208 bytes | received 19406112 bytes
wrote 19414208 bytes | received 19414208 bytes
wrote 19422304 bytes | received 19414208 bytes
wrote 19422304 bytes | received 19422304 bytes
wrote 19430400 bytes | received 19422304 bytes
wrote 19430400 bytes | received 19430400 bytes
wrote 19438496 bytes | received 19430400 bytes
wrote 19438496 bytes | received 19438496 bytes
wrote 19446592 bytes | received 19438496 bytes
wrote 19446592 bytes | received 19446592 bytes
wrote 19454688 bytes | received 19446592 bytes
wrote 19454688 bytes | received 19454688 bytes
wrote 19462784 bytes | received 19454688 bytes
wrote 19462784 bytes | received 19462784 bytes
wrote 19470880 bytes | received 19462784 bytes
wrote 19470880 bytes | received 19470880 bytes
wrote 19478976 bytes | received 19470880 bytes
wrote 19478976 bytes | received 19478976 bytes
wrote 19487072 bytes | received 19478976 bytes
wrote 19487072 bytes | received 19487072 bytes
wrote 19495168 bytes | received 19487072 bytes
wrote 19495168 bytes | received 19495168 bytes
wrote 19503264 bytes | received 19495168 bytes
wrote 19503264 bytes | received 19503264 bytes
wrote 19511360 bytes | received 19503264 bytes
wrote 19511360 bytes | received 19511360 bytes
wrote 19519456 bytes | received 19511360 bytes
wrote 19519456 bytes | received 19519456 bytes
wrote 19527552 bytes | received 19519456 bytes
wrote 19527552 bytes | received 19527552 bytes
wrote 19535648 bytes | received 19527552 bytes
wrote 19535648 bytes | received 19535648 bytes
wrote 19543744 bytes | received 19535648 bytes
wrote 19543744 bytes | received 19543744 bytes
wrote 19551840 bytes | received 19543744 bytes
wrote 19551840 bytes | received 19551840 bytes
wrote 19559936 bytes | received 19551840 bytes
wrote 19559936 bytes | received 19559936 bytes
wrote 19568032 bytes | received 19559936 bytes
wrote 19568032 bytes | received 19568032 bytes
wrote 19576128 bytes | received 19568032 bytes
wrote 19576128 bytes | received 19576128 bytes
wrote 19584224 bytes | received 19576128 bytes
wrote 19584224 bytes | received 19584224 bytes
wrote 19592320 bytes | received 19584224 bytes
wrote 19592320 bytes | received 19592320 bytes
wrote 19600416 bytes | received 19592320 bytes
wrote 19600416 bytes | received 19600416 bytes
wrote 19608512 bytes | received 19600416 bytes
wrote 19608512 bytes | received 19608512 bytes
wrote 19616608 bytes | received 19608512 bytes
wrote 19616608 bytes | received 19616608 bytes
wrote 19624704 bytes | received 19616608 bytes
wrote 19624704 bytes | received 19624704 bytes
wrote 19632800 bytes | received 19624704 bytes
wrote 19632800 bytes | received 19632800 bytes
wrote 19640896 bytes | received 19632800 bytes
wrote 19640896 bytes | received 19640896 bytes
wrote 19648992 bytes | received 19640896 bytes
wrote 19648992 bytes | received 19648992 bytes
wrote 19657088 bytes | received 19648992 bytes
wrote 19657088 bytes | received 19657088 bytes
wrote 19665184 bytes | received 19657088 bytes
wrote 19665184 bytes | received 19665184 bytes
wrote 19673280 bytes | received 19665184 bytes
wrote 19673280 bytes | received 19673280 bytes
wrote 19681376 bytes | received 19673280 bytes
wrote 19681376 bytes | received 19681376 bytes
wrote 19689472 bytes | received 19681376 bytes
wrote 19689472 bytes | received 19689472 bytes
wrote 19697568 bytes | received 19689472 bytes
wrote 19697568 bytes | received 19697568 bytes
wrote 19705664 bytes | received 19697568 bytes
wrote 19705664 bytes | received 19705664 bytes
wrote 19713760 bytes | received 19705664 bytes
wrote 19713760 bytes | received 19713760 bytes
wrote 19721856 bytes | received 19713760 bytes
wrote 19721856 bytes | received 19721856 bytes
wrote 19729952 bytes | received 19721856 bytes
wrote 19729952 bytes | received 19729952 bytes
wrote 19738048 bytes | received 19729952 bytes
wrote 19738048 bytes | received 19738048 bytes
wrote 19746144 bytes | received 19738048 bytes
wrote 19746144 bytes | received 19746144 bytes
wrote 19754240 bytes | received 19746144 bytes
wrote 19754240 bytes | received 19754240 bytes
wrote 19762336 bytes | received 19754240 bytes
wrote 19762336 bytes | received 19762336 bytes
wrote 19770432 bytes | received 19762336 bytes
wrote 19770432 bytes | received 19770432 bytes
wrote 19778528 bytes | received 19770432 bytes
wrote 19778528 bytes | received 19778528 bytes
wrote 19786624 bytes | received 19778528 bytes
wrote 19786624 bytes | received 19786624 bytes
wrote 19794720 bytes | received 19786624 bytes
wrote 19794720 bytes | received 19794720 bytes
wrote 19802816 bytes | received 19794720 bytes
wrote 19802816 bytes | received 19802816 bytes
wrote 19810912 bytes | received 19802816 bytes
wrote 19810912 bytes | received 19810912 bytes
wrote 19819008 bytes | received 19810912 bytes
wrote 19819008 bytes | received 19819008 bytes
wrote 19827104 bytes | received 19819008 bytes
wrote 19827104 bytes | received 19827104 bytes
wrote 19835200 bytes | received 19827104 bytes
wrote 19835200 bytes | received 19835200 bytes
wrote 19843296 bytes | received 19835200 bytes
wrote 19843296 bytes | received 19843296 bytes
wrote 19851392 bytes | received 19843296 bytes
wrote 19851392 bytes | received 19851392 bytes
wrote 19859488 bytes | received 19851392 bytes
wrote 19859488 bytes | received 19859488 bytes
wrote 19867584 bytes | received 19859488 bytes
wrote 19867584 bytes | received 19867584 bytes
wrote 19875680 bytes | received 19867584 bytes
wrote 19875680 bytes | received 19875680 bytes
wrote 19883776 bytes | received 19875680 bytes
wrote 19883776 bytes | received 19883776 bytes
wrote 19891872 bytes | received 19883776 bytes
wrote 19891872 bytes | received 19891872 bytes
wrote 19899968 bytes | received 19891872 bytes
wrote 19899968 bytes | received 19899968 bytes
wrote 19908064 bytes | received 19899968 bytes
wrote 19908064 bytes | received 19908064 bytes
wrote 19916160 bytes | received 19908064 bytes
wrote 19916160 bytes | received 19916160 bytes
wrote 19924256 bytes | received 19916160 bytes
wrote 19924256 bytes | received 19924256 bytes
wrote 19932352 bytes | received 19924256 bytes
wrote 19932352 bytes | received 19932352 bytes
wrote 19940448 bytes | received 19932352 bytes
wrote 19940448 bytes | received 19940448 bytes
wrote 19948544 bytes | received 19940448 bytes
wrote 19948544 bytes | received 19948544 bytes
wrote 19956640 bytes | received 19948544 bytes
wrote 19956640 bytes | received 19956640 bytes
wrote 19964736 bytes | received 19956640 bytes
wrote 19964736 bytes | received 19964736 bytes
wrote 19972832 bytes | received 19964736 bytes
wrote 19972832 bytes | received 19972832 bytes
wrote 19980928 bytes | received 19972832 bytes
wrote 19980928 bytes | received 19980928 bytes
wrote 19989024 bytes | received 19980928 bytes
wrote 19989024 bytes | received 19989024 bytes
wrote 19997120 bytes | received 19989024 bytes
wrote 19997120 bytes | received 19997120 bytes
wrote 20005216 bytes | received 19997120 bytes
wrote 20005216 bytes | received 20005216 bytes
wrote 20013312 bytes | received 20005216 bytes
wrote 20013312 bytes | received 20013312 bytes
wrote 20021408 bytes | received 20013312 bytes
wrote 20021408 bytes | received 20021408 bytes
wrote 20029504 bytes | received 20021408 bytes
wrote 20029504 bytes | received 20029504 bytes
wrote 20037600 bytes | received 20029504 bytes
wrote 20037600 bytes | received 20037600 bytes
wrote 20045696 bytes | received 20037600 bytes
wrote 20045696 bytes | received 20045696 bytes
wrote 20053792 bytes | received 20045696 bytes
wrote 20053792 bytes | received 20053792 bytes
wrote 20061888 bytes | received 20053792 bytes
wrote 20061888 bytes | received 20061888 bytes
wrote 20069984 bytes | received 20061888 bytes
wrote 20069984 bytes | received 20069984 bytes
wrote 20078080 bytes | received 20069984 bytes
wrote 20078080 bytes | received 20078080 bytes
wrote 20086176 bytes | received 20078080 bytes
wrote 20086176 bytes | received 20086176 bytes
wrote 20094272 bytes | received 20086176 bytes
wrote 20094272 bytes | received 20094272 bytes
wrote 20102368 bytes | received 20094272 bytes
wrote 20102368 bytes | received 20102368 bytes
wrote 20110464 bytes | received 20102368 bytes
wrote 20110464 bytes | received 20110464 bytes
wrote 20118560 bytes | received 20110464 bytes
wrote 20118560 bytes | received 20118560 bytes
wrote 20126656 bytes | received 20118560 bytes
wrote 20126656 bytes | received 20126656 bytes
wrote 20134752 bytes | received 20126656 bytes
wrote 20134752 bytes | received 20134752 bytes
wrote 20142848 bytes | received 20134752 bytes
wrote 20142848 bytes | received 20142848 bytes
wrote 20150944 bytes | received 20142848 bytes
wrote 20150944 bytes | received 20150944 bytes
wrote 20159040 bytes | received 20150944 bytes
wrote 20159040 bytes | received 20159040 bytes
wrote 20167136 bytes | received 20159040 bytes
wrote 20167136 bytes | received 20167136 bytes
wrote 20175232 bytes | received 20167136 bytes
wrote 20175232 bytes | received 20175232 bytes
wrote 20183328 bytes | received 20175232 bytes
wrote 20183328 bytes | received 20183328 bytes
wrote 20191424 bytes | received 20183328 bytes
wrote 20191424 bytes | received 20191424 bytes
wrote 20199520 bytes | received 20191424 bytes
wrote 20199520 bytes | received 20199520 bytes
wrote 20207616 bytes | received 20199520 bytes
wrote 20207616 bytes | received 20207616 bytes
wrote 20215712 bytes | received 20207616 bytes
wrote 20215712 bytes | received 20215712 bytes
wrote 20223808 bytes | received 20215712 bytes
wrote 20223808 bytes | received 20223808 bytes
wrote 20231904 bytes | received 20223808 bytes
wrote 20231904 bytes | received 20231904 bytes
wrote 20240000 bytes | received 20231904 bytes
wrote 20240000 bytes | received 20240000 bytes
wrote 20248096 bytes | received 20240000 bytes
wrote 20248096 bytes | received 20248096 bytes
wrote 20256192 bytes | received 20248096 bytes
wrote 20256192 bytes | received 20256192 bytes
wrote 20264288 bytes | received 20256192 bytes
wrote 20264288 bytes | received 20264288 bytes
wrote 20272384 bytes | received 20264288 bytes
wrote 20272384 bytes | received 20272384 bytes
wrote 20280480 bytes | received 20272384 bytes
wrote 20280480 bytes | received 20280480 bytes
wrote 20288576 bytes | received 20280480 bytes
wrote 20288576 bytes | received 20288576 bytes
wrote 20296672 bytes | received 20288576 bytes
wrote 20296672 bytes | received 20296672 bytes
wrote 20304768 bytes | received 20296672 bytes
wrote 20304768 bytes | received 20304768 bytes
wrote 20312864 bytes | received 20304768 bytes
wrote 20312864 bytes | received 20312864 bytes
wrote 20320960 bytes | received 20312864 bytes
wrote 20320960 bytes | received 20320960 bytes
wrote 20329056 bytes | received 20320960 bytes
wrote 20329056 bytes | received 20329056 bytes
wrote 20337152 bytes | received 20329056 bytes
wrote 20337152 bytes | received 20337152 bytes
wrote 20345248 bytes | received 20337152 bytes
wrote 20345248 bytes | received 20345248 bytes
wrote 20353344 bytes | received 20345248 bytes
wrote 20353344 bytes | received 20353344 bytes
wrote 20361440 bytes | received 20353344 bytes
wrote 20361440 bytes | received 20361440 bytes
wrote 20369536 bytes | received 20361440 bytes
wrote 20369536 bytes | received 20369536 bytes
wrote 20377632 bytes | received 20369536 bytes
wrote 20377632 bytes | received 20377632 bytes
wrote 20385728 bytes | received 20377632 bytes
wrote 20385728 bytes | received 20385728 bytes
wrote 20393824 bytes | received 20385728 bytes
wrote 20393824 bytes | received 20393824 bytes
wrote 20401920 bytes | received 20393824 bytes
wrote 20401920 bytes | received 20401920 bytes
wrote 20410016 bytes | received 20401920 bytes
wrote 20410016 bytes | received 20410016 bytes
wrote 20418112 bytes | received 20410016 bytes
wrote 20418112 bytes | received 20418112 bytes
wrote 20426208 bytes | received 20418112 bytes
wrote 20426208 bytes | received 20426208 bytes
wrote 20434304 bytes | received 20426208 bytes
wrote 20434304 bytes | received 20434304 bytes
wrote 20442400 bytes | received 20434304 bytes
wrote 20442400 bytes | received 20442400 bytes
wrote 20450496 bytes | received 20442400 bytes
wrote 20450496 bytes | received 20450496 bytes
wrote 20458592 bytes | received 20450496 bytes
wrote 20458592 bytes | received 20458592 bytes
wrote 20466688 bytes | received 20458592 bytes
wrote 20466688 bytes | received 20466688 bytes
wrote 20474784 bytes | received 20466688 bytes
wrote 20474784 bytes | received 20474784 bytes
wrote 20482880 bytes | received 20474784 bytes
wrote 20482880 bytes | received 20482880 bytes
wrote 20490976 bytes | received 20482880 bytes
wrote 20490976 bytes | received 20490976 bytes
wrote 20499072 bytes | received 20490976 bytes
wrote 20499072 bytes | received 20499072 bytes
wrote 20507168 bytes | received 20499072 bytes
wrote 20507168 bytes | received 20507168 bytes
wrote 20515264 bytes | received 20507168 bytes
wrote 20515264 bytes | received 20515264 bytes
wrote 20523360 bytes | received 20515264 bytes
wrote 20523360 bytes | received 20523360 bytes
wrote 20531456 bytes | received 20523360 bytes
wrote 20531456 bytes | received 20531456 bytes
wrote 20539552 bytes | received 20531456 bytes
wrote 20539552 bytes | received 20539552 bytes
wrote 20547648 bytes | received 20539552 bytes
wrote 20547648 bytes | received 20547648 bytes
wrote 20555744 bytes | received 20547648 bytes
wrote 20555744 bytes | received 20555744 bytes
wrote 20563840 bytes | received 20555744 bytes
wrote 20563840 bytes | received 20563840 bytes
wrote 20571936 bytes | received 20563840 bytes
wrote 20571936 bytes | received 20571936 bytes
wrote 20580032 bytes | received 20571936 bytes
wrote 20580032 bytes | received 20580032 bytes
wrote 20588128 bytes | received 20580032 bytes
wrote 20588128 bytes | received 20588128 bytes
wrote 20596224 bytes | received 20588128 bytes
wrote 20596224 bytes | received 20596224 bytes
wrote 20604320 bytes | received 20596224 bytes
wrote 20604320 bytes | received 20604320 bytes
wrote 20612416 bytes | received 20604320 bytes
wrote 20612416 bytes | received 20612416 bytes
wrote 20620512 bytes | received 20612416 bytes
wrote 20620512 bytes | received 20620512 bytes
wrote 20628608 bytes | received 20620512 bytes
wrote 20628608 bytes | received 20628608 bytes
wrote 20636704 bytes | received 20628608 bytes
wrote 20636704 bytes | received 20636704 bytes
wrote 20644800 bytes | received 20636704 bytes
wrote 20644800 bytes | received 20644800 bytes
wrote 20652896 bytes | received 20644800 bytes
wrote 20652896 bytes | received 20652896 bytes
wrote 20660992 bytes | received 20652896 bytes
wrote 20660992 bytes | received 20660992 bytes
wrote 20669088 bytes | received 20660992 bytes
wrote 20669088 bytes | received 20669088 bytes
wrote 20677184 bytes | received 20669088 bytes
wrote 20677184 bytes | received 20677184 bytes
wrote 20685280 bytes | received 20677184 bytes
wrote 20685280 bytes | received 20685280 bytes
wrote 20693376 bytes | received 20685280 bytes
wrote 20693376 bytes | received 20693376 bytes
wrote 20701472 bytes | received 20693376 bytes
wrote 20701472 bytes | received 20701472 bytes
wrote 20709568 bytes | received 20701472 bytes
wrote 20709568 bytes | received 20709568 bytes
wrote 20717664 bytes | received 20709568 bytes
wrote 20717664 bytes | received 20717664 bytes
wrote 20725760 bytes | received 20717664 bytes
wrote 20725760 bytes | received 20725760 bytes
wrote 20733856 bytes | received 20725760 bytes
wrote 20733856 bytes | received 20733856 bytes
wrote 20741952 bytes | received 20733856 bytes
wrote 20741952 bytes | received 20741952 bytes
wrote 20750048 bytes | received 20741952 bytes
wrote 20750048 bytes | received 20750048 bytes
wrote 20758144 bytes | received 20750048 bytes
wrote 20758144 bytes | received 20758144 bytes
wrote 20766240 bytes | received 20758144 bytes
wrote 20766240 bytes | received 20766240 bytes
wrote 20774336 bytes | received 20766240 bytes
wrote 20774336 bytes | received 20774336 bytes
wrote 20782432 bytes | received 20774336 bytes
wrote 20782432 bytes | received 20782432 bytes
wrote 20790528 bytes | received 20782432 bytes
wrote 20790528 bytes | received 20790528 bytes
wrote 20798624 bytes | received 20790528 bytes
wrote 20798624 bytes | received 20798624 bytes
wrote 20806720 bytes | received 20798624 bytes
wrote 20806720 bytes | received 20806720 bytes
wrote 20814816 bytes | received 20806720 bytes
wrote 20814816 bytes | received 20814816 bytes
wrote 20822912 bytes | received 20814816 bytes
wrote 20822912 bytes | received 20822912 bytes
wrote 20831008 bytes | received 20822912 bytes
wrote 20831008 bytes | received 20831008 bytes
wrote 20839104 bytes | received 20831008 bytes
wrote 20839104 bytes | received 20839104 bytes
wrote 20847200 bytes | received 20839104 bytes
wrote 20847200 bytes | received 20847200 bytes
wrote 20855296 bytes | received 20847200 bytes
wrote 20855296 bytes | received 20855296 bytes
wrote 20863392 bytes | received 20855296 bytes
wrote 20863392 bytes | received 20863392 bytes
wrote 20871488 bytes | received 20863392 bytes
wrote 20871488 bytes | received 20871488 bytes
wrote 20879584 bytes | received 20871488 bytes
wrote 20879584 bytes | received 20879584 bytes
wrote 20887680 bytes | received 20879584 bytes
wrote 20887680 bytes | received 20887680 bytes
wrote 20895776 bytes | received 20887680 bytes
wrote 20895776 bytes | received 20895776 bytes
wrote 20903872 bytes | received 20895776 bytes
wrote 20903872 bytes | received 20903872 bytes
wrote 20911968 bytes | received 20903872 bytes
wrote 20911968 bytes | received 20911968 bytes
wrote 20920064 bytes | received 20911968 bytes
wrote 20920064 bytes | received 20920064 bytes
wrote 20928160 bytes | received 20920064 bytes
wrote 20928160 bytes | received 20928160 bytes
wrote 20936256 bytes | received 20928160 bytes
wrote 20936256 bytes | received 20936256 bytes
wrote 20944352 bytes | received 20936256 bytes
wrote 20944352 bytes | received 20944352 bytes
wrote 20952448 bytes | received 20944352 bytes
wrote 20952448 bytes | received 20952448 bytes
wrote 20960544 bytes | received 20952448 bytes
wrote 20960544 bytes | received 20960544 bytes
wrote 20968640 bytes | received 20960544 bytes
wrote 20968640 bytes | received 20968640 bytes
wrote 20976736 bytes | received 20968640 bytes
wrote 20976736 bytes | received 20976736 bytes
wrote 20984832 bytes | received 20976736 bytes
wrote 20984832 bytes | received 20984832 bytes
wrote 20992928 bytes | received 20984832 bytes
wrote 20992928 bytes | received 20992928 bytes
wrote 21001024 bytes | received 20992928 bytes
wrote 21001024 bytes | received 21001024 bytes
wrote 21009120 bytes | received 21001024 bytes
wrote 21009120 bytes | received 21009120 bytes
wrote 21017216 bytes | received 21009120 bytes
wrote 21017216 bytes | received 21017216 bytes
wrote 21025312 bytes | received 21017216 bytes
wrote 21025312 bytes | received 21025312 bytes
wrote 21033408 bytes | received 21025312 bytes
wrote 21033408 bytes | received 21033408 bytes
wrote 21041504 bytes | received 21033408 bytes
wrote 21041504 bytes | received 21041504 bytes
wrote 21049600 bytes | received 21041504 bytes
wrote 21049600 bytes | received 21049600 bytes
wrote 21057696 bytes | received 21049600 bytes
wrote 21057696 bytes | received 21057696 bytes
wrote 21065792 bytes | received 21057696 bytes
wrote 21065792 bytes | received 21065792 bytes
wrote 21073888 bytes | received 21065792 bytes
wrote 21073888 bytes | received 21073888 bytes
wrote 21081984 bytes | received 21073888 bytes
wrote 21081984 bytes | received 21081984 bytes
wrote 21090080 bytes | received 21081984 bytes
wrote 21090080 bytes | received 21090080 bytes
wrote 21098176 bytes | received 21090080 bytes
wrote 21098176 bytes | received 21098176 bytes
wrote 21106272 bytes | received 21098176 bytes
wrote 21106272 bytes | received 21106272 bytes
wrote 21114368 bytes | received 21106272 bytes
wrote 21114368 bytes | received 21114368 bytes
wrote 21122464 bytes | received 21114368 bytes
wrote 21122464 bytes | received 21122464 bytes
wrote 21130560 bytes | received 21122464 bytes
wrote 21130560 bytes | received 21130560 bytes
wrote 21138656 bytes | received 21130560 bytes
wrote 21138656 bytes | received 21138656 bytes
wrote 21146752 bytes | received 21138656 bytes
wrote 21146752 bytes | received 21146752 bytes
wrote 21154848 bytes | received 21146752 bytes
wrote 21154848 bytes | received 21154848 bytes
wrote 21162944 bytes | received 21154848 bytes
wrote 21162944 bytes | received 21162944 bytes
wrote 21171040 bytes | received 21162944 bytes
wrote 21171040 bytes | received 21171040 bytes
wrote 21179136 bytes | received 21171040 bytes
wrote 21179136 bytes | received 21179136 bytes
wrote 21187232 bytes | received 21179136 bytes
wrote 21187232 bytes | received 21187232 bytes
wrote 21195328 bytes | received 21187232 bytes
wrote 21195328 bytes | received 21195328 bytes
wrote 21203424 bytes | received 21195328 bytes
wrote 21203424 bytes | received 21203424 bytes
wrote 21211520 bytes | received 21203424 bytes
wrote 21211520 bytes | received 21211520 bytes
wrote 21219616 bytes | received 21211520 bytes
wrote 21219616 bytes | received 21219616 bytes
wrote 21227712 bytes | received 21219616 bytes
wrote 21227712 bytes | received 21227712 bytes
wrote 21235808 bytes | received 21227712 bytes
wrote 21235808 bytes | received 21235808 bytes
wrote 21243904 bytes | received 21235808 bytes
wrote 21243904 bytes | received 21243904 bytes
wrote 21252000 bytes | received 21243904 bytes
wrote 21252000 bytes | received 21252000 bytes
wrote 21260096 bytes | received 21252000 bytes
wrote 21260096 bytes | received 21260096 bytes
wrote 21268192 bytes | received 21260096 bytes
wrote 21268192 bytes | received 21268192 bytes
wrote 21276288 bytes | received 21268192 bytes
wrote 21276288 bytes | received 21276288 bytes
wrote 21284384 bytes | received 21276288 bytes
wrote 21284384 bytes | received 21284384 bytes
wrote 21292480 bytes | received 21284384 bytes
wrote 21292480 bytes | received 21292480 bytes
wrote 21300576 bytes | received 21292480 bytes
wrote 21300576 bytes | received 21300576 bytes
wrote 21308672 bytes | received 21300576 bytes
wrote 21308672 bytes | received 21308672 bytes
wrote 21316768 bytes | received 21308672 bytes
wrote 21316768 bytes | received 21316768 bytes
wrote 21324864 bytes | received 21316768 bytes
wrote 21324864 bytes | received 21324864 bytes
wrote 21332960 bytes | received 21324864 bytes
wrote 21332960 bytes | received 21332960 bytes
wrote 21341056 bytes | received 21332960 bytes
wrote 21341056 bytes | received 21341056 bytes
wrote 21349152 bytes | received 21341056 bytes
wrote 21349152 bytes | received 21349152 bytes
wrote 21357248 bytes | received 21349152 bytes
wrote 21357248 bytes | received 21357248 bytes
wrote 21365344 bytes | received 21357248 bytes
wrote 21365344 bytes | received 21365344 bytes
